id,nombre,numero_habitantes,url_bandera,capital
1,Mexico,122273473,https://restcountries.eu/data/mex.svg,Mexico City
2,Afghanistan,27657145,https://restcountries.eu/data/afg.svg,Kabul
3,Italy,60665551,https://restcountries.eu/data/ita.svg,Rome
4,Ecuador,16545799,https://restcountries.eu/data/ecu.svg,Quito
5,Canada,36155487,https://restcountries.eu/data/can.svg,Ottawa
6,El Salvador,6520675,https://restcountries.eu/data/slv.svg,San Salvador
7,Nicaragua,6262703,https://restcountries.eu/data/nic.svg,Managua
8,Chile,18191900,https://restcountries.eu/data/chl.svg,Santiago
9,Belize,370300,https://restcountries.eu/data/blz.svg,Belmopan
10,Colombia,48759958,https://restcountries.eu/data/col.svg,Bogotá
11,Argentina,43590400,https://restcountries.eu/data/arg.svg,Buenos Aires
12,Albania,2886026,https://restcountries.eu/data/alb.svg,Tirana
13,Australia,24117360,https://restcountries.eu/data/aus.svg,Canberra
14,Bolivia (Plurinational State of),10985059,https://restcountries.eu/data/bol.svg,Sucre
15,Brazil,206135893,https://restcountries.eu/data/bra.svg,Brasília
16,Cuba,11239004,https://restcountries.eu/data/cub.svg,Havana
17,Costa Rica,4890379,https://restcountries.eu/data/cri.svg,San José
18,Haiti,11078033,https://restcountries.eu/data/hti.svg,Port-au-Prince
19,Honduras,8576532,https://restcountries.eu/data/hnd.svg,Tegucigalpa
20,Peru,31488700,https://restcountries.eu/data/per.svg,Lima
